kind,page_href,page_title,h1,nav_text,local_id,official_id,ordinal_in_page,official_caption_or_headers,caption_status,nearest_heading,context_en,rows,cols,n_imgs,workflow_phase,practical_reading_ja,mlflow_links,source_page_url,source_repo_url,image_storage_policy
standalone_image,index.html,Bayesian Workflow book: Website – Bayesian Workflow book,Bayesian Workflow book: Website,Home,index/standalone_image-001,,1,Cover of the Bayesian Workflow book,descriptive_or_headers,Information,BibTeX entry:,,,,Unclassified / inspect manually,captionが薄い図表。前後の本文・コードchunk・公式ソースを確認して役割を確定する。,"source_page_url, source_repo_url, manual_review_status",https://avehtari.github.io/Bayesian-Workflow/index.html,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/index.qmd,link_only_no_binary_copy_for_crc_book_site
table,casestudies.html,Bayesian Workflow book: Case studies – Bayesian Workflow book,Bayesian Workflow book: Case studies,Case studies,casestudies/tinytable_soq0jv2fyl6t7naf3y46,tinytable_soq0jv2fyl6t7naf3y46,1,"Package; Version; Description; arm; 1.15-3; Functions to accompany A. Gelman and J. Hill, Data Analysis Using Regression and Multilevel/Hierarchical Models, Cambridge University Press, 2007.; assertthat; 0.2.1",descriptive_or_headers,Software versions,We list here all the software packages used in the case studies and the versions used when rendering the case study web pages 2026-01-08.,57,3,,Unclassified / inspect manually,captionが薄い図表。前後の本文・コードchunk・公式ソースを確認して役割を確定する。,"source_page_url, source_repo_url, manual_review_status",https://avehtari.github.io/Bayesian-Workflow/casestudies.html#tinytable_soq0jv2fyl6t7naf3y46,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/casestudies.qmd,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-data-plot,fig-bioassay-data-plot,1,Figure 1,label_only,2 Bioassay data,Data plotted with base R,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-data-plot,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-data-ggplot,fig-bioassay-data-ggplot,2,Figure 2,label_only,2 Bioassay data,Data plotted with ggplot,,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-data-ggplot,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-plot,fig-bioassay-posterior-plot,3,Figure 3,label_only,4 Posterior summary,"Plot with base plot: data, 20 logistic curves given 20 posterior draws, and one logistic given the posterior mean",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-plot,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-ggplot,fig-bioassay-posterior-ggplot,4,Figure 4,label_only,4 Posterior summary,"Plot with ggplot: data, 20 logistic curves given 20 posterior draws, and one logistic given the posterior mean",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-ggplot,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-LD50-quantile-dots,fig-bioassay-LD50-quantile-dots,5,Figure 5,label_only,5 Derived quantities,Quantile dot plot of the LD50 (mg/ml) posterior,,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-LD50-quantile-dots,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-LD50-KDE,fig-bioassay-LD50-KDE,6,Figure 6,label_only,5 Derived quantities,Kernel density plot of the LD50 (mg/ml) posterior,,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-LD50-KDE,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-ggplot-brms,fig-bioassay-posterior-ggplot-brms,7,Figure 7,label_only,6 brms model and inference,"Plot data, 20 logistic curves given 20 posterior draws, and one logistic given the posterior mean",,,1,EDA / observed data,モデル化前に、観測単位・外れ値・欠測・群構造・時系列性・上限/下限などを確認する。MLflowではデータ版と前処理版を固定する。,"dataset_uri, dataset_hash, preprocessing_version, n_obs, group_count",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-ggplot-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
figure,bioassay/bioassay.html,Bioassay case study – Bayesian Workflow book,Bioassay case study,Sec 3.5: Bioassay,bioassay-bioassay/fig-bioassay-posterior-conditional_effects-brms,fig-bioassay-posterior-conditional_effects-brms,8,Figure 8,label_only,6 brms model and inference,"brms provides also shortcut for plotting the posterior mean and uncertainty. We use plot=FALSE and [[1]] to return a ggplot object, so that we can modify the axes labels.",,,1,Posterior summary / effect interpretation,推定効果・不確実性・派生量を意思決定に接続する。平均だけでなく区間・分布・実務閾値超過確率を残す。,"posterior_draws_uri, model_code_hash, ci_width, decision_threshold_prob",https://avehtari.github.io/Bayesian-Workflow/bioassay/bioassay.html#fig-bioassay-posterior-conditional_effects-brms,https://github.com/avehtari/Bayesian-Workflow/blob/eb00fa4397314ef7d90203382542bd44c590e289/bioassay/bioassay.R,link_only_no_binary_copy_for_crc_book_site
